,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
6430500D05Rik,4.970805354618002e-05,0.0002809434535559696,0.0,0.0017211990437768587,6.395093655372217e-05,0.00041943803975810404,0.0006437563285764288,0.0019251024179373721,0.00027324636657231254,0.0,0.00014726224067184107,0.0008443580592902071,0.0009373810982090388,0.001501186562607795,0.0,0.0015419178411997987
6430548M08Rik,0.0011904996474148648,0.0,0.0014954248052422064,0.00026344625856709343,0.0,0.002674872221835346,0.0,0.00044168436258975116,0.0,0.003586622861743554,0.0,8.223017932799373e-05,0.0005311034858240814,0.0009854223894185262,0.0,0.0
8030451A03Rik,0.0,6.0082066562734516e-05,0.0003484459931755378,0.0,0.0013308886316705766,0.001222332794716942,3.290063050231766e-05,0.0,0.0003196221592114737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9530034E10Rik,0.0,0.0,0.0006976549672527088,0.0,0.001699779689681342,1.4802715633984631e-05,0.0,0.0,0.0007130744150591099,0.0,0.0,0.0,0.005741890233995848,0.0,1.6390921896149938e-05,0.0
9530059O14Rik,0.00015172780769594677,0.0,0.0,0.0,0.0,0.00044304960709098414,0.0,3.664074459367005e-05,0.0,1.9751520026043258e-05,0.0,0.0,0.00020202719341823693,0.0,0.0,0.0
A330048O09Rik,0.0,0.0009781878519426323,0.0007835901267203699,0.0,0.0,0.0,4.497218325291553e-05,0.0,0.0,0.00043520663654366055,0.0,0.0,0.0,0.0,0.001165289850909752,0.0
A430035B10Rik,0.00033799024469190664,0.0,0.0,2.8154698237463272e-05,0.0,0.00027185354012807965,0.0001523742224560955,0.00043743335509886566,0.0025923119179383012,0.0005147454815583275,0.002488718628169381,0.00021444133452148452,0.002979330523394832,0.0005000834590079489,0.004083987512133054,0.0003081452505469897
A730046J19Rik,1.3375673076985855e-05,0.0008649214758392267,0.001604111456354294,0.0005893755156173246,0.0010409503330543611,0.0,0.0018634305908330302,0.0004889898739364317,0.001841539103012964,0.004616067930422884,0.0017761710083197613,0.0,0.0,0.0018119357300765964,0.0,0.0
A830010M20Rik,0.0007009571099220959,0.0010797664973273495,6.486792416233356e-05,0.00027847040422163897,0.0001468798550595258,0.0,0.0008169718326141324,0.001166142627925584,0.0007135529951697398,0.0013597399596580082,0.004552777661727772,0.0,0.0017733269101200253,0.0013328678749628046,0.00024618500969578915,0.0
AC034116.4,9.538597241586302e-05,0.00012931554771663953,0.00278244812684066,0.0,0.0008074951235172874,0.0,6.607719550742695e-05,0.0,0.0004629827025183506,0.0004918135395746598,0.0,0.0,0.0,0.0,0.00046876713495720853,0.0
